Repeat,Fold,gene_id
6,5,ENSG00000275385.2
6,5,ENSG00000117472.10
6,5,ENSG00000004799.8
6,5,ENSG00000163581.14
6,5,ENSG00000147003.7
6,5,ENSG00000133477.17
6,5,ENSG00000119630.14
6,5,ENSG00000147614.4
6,5,ENSG00000167588.13
6,5,ENSG00000131482.10
6,5,ENSG00000163735.7
6,5,ENSG00000131730.16
6,5,ENSG00000170323.9
6,5,ENSG00000133863.9
6,5,ENSG00000006747.15
7,1,ENSG00000164434.12
7,1,ENSG00000129988.6
7,1,ENSG00000124564.17
7,1,ENSG00000012223.13
7,1,ENSG00000019505.8
7,1,ENSG00000178776.5
7,1,ENSG00000130427.3
7,1,ENSG00000173376.14
7,1,ENSG00000185686.18
7,1,ENSG00000050628.20
7,1,ENSG00000135205.15
7,1,ENSG00000125255.7
7,1,ENSG00000117472.10
7,1,ENSG00000275385.2
7,1,ENSG00000149294.17
7,1,ENSG00000147003.7
7,1,ENSG00000131482.10
7,1,ENSG00000163581.14
7,1,ENSG00000004939.15
7,1,ENSG00000163735.7
7,1,ENSG00000133477.17
7,1,ENSG00000119630.14
7,1,ENSG00000119125.17
7,1,ENSG00000167588.13
7,1,ENSG00000006747.15
7,1,ENSG00000101938.15
7,1,ENSG00000120645.12
7,1,ENSG00000133863.9
7,1,ENSG00000135069.14
7,2,ENSG00000164434.12
7,2,ENSG00000174358.16
7,2,ENSG00000012223.13
7,2,ENSG00000131094.4
7,2,ENSG00000152377.14
7,2,ENSG00000178776.5
7,2,ENSG00000185686.18
7,2,ENSG00000077274.9
7,2,ENSG00000152779.14
7,2,ENSG00000125144.14
7,2,ENSG00000117472.10
7,2,ENSG00000147003.7
7,2,ENSG00000133477.17
7,2,ENSG00000006747.15
7,2,ENSG00000170323.9
7,2,ENSG00000131400.8
7,3,ENSG00000164434.12
7,3,ENSG00000171557.17
7,3,ENSG00000174358.16
7,3,ENSG00000138207.14
7,3,ENSG00000157765.13
7,3,ENSG00000007062.12
7,3,ENSG00000124564.17
7,3,ENSG00000145626.12
7,3,ENSG00000135447.17
7,3,ENSG00000102854.16
7,3,ENSG00000081800.9
7,3,ENSG00000012817.16
7,3,ENSG00000012223.13
7,3,ENSG00000172927.8
7,3,ENSG00000165376.11
7,3,ENSG00000241119.2
7,3,ENSG00000131094.4
7,3,ENSG00000019505.8
7,3,ENSG00000153902.14
7,3,ENSG00000257335.8
7,3,ENSG00000173376.14
7,3,ENSG00000132465.12
7,3,ENSG00000050628.20
7,3,ENSG00000172005.11
7,3,ENSG00000185686.18
7,3,ENSG00000135205.15
7,3,ENSG00000198734.12
7,3,ENSG00000163295.5
7,3,ENSG00000168065.16
7,3,ENSG00000087250.9
7,3,ENSG00000166183.16
7,3,ENSG00000134184.13
7,3,ENSG00000145321.13
7,3,ENSG00000101197.13
7,3,ENSG00000117472.10
7,3,ENSG00000175084.12
7,3,ENSG00000275385.2
7,3,ENSG00000119125.17
7,3,ENSG00000004939.15
7,3,ENSG00000128285.4
7,3,ENSG00000119630.14
7,3,ENSG00000163735.7
7,3,ENSG00000154025.16
